CITY,TMIN1,TMIN2,TMIN3,TMIN4,TMIN5,TMIN6,TMIN7,TMIN8,TMIN9,TMIN10,TMIN11,TMIN12,TMAX1,TMAX2,TMAX3,TMAX4,TMAX5,TMAX6,TMAX7,TMAX8,TMAX9,TMAX10,TMAX11,TMAX12,PRCP1,PRCP2,PRCP3,PRCP4,PRCP5,PRCP6,PRCP7,PRCP8,PRCP9,PRCP10,PRCP11,PRCP12,SNOW1,SNOW2,SNOW3,SNOW4,SNOW5,SNOW6,SNOW7,SNOW8,SNOW9,SNOW10,SNOW11,SNOW12
Abidjan,23.125511432,24.1531887755,24.3482638889,24.1845783133,23.9226327945,23.2302741359,22.6591907514,22.1367630058,22.8617100372,23.4012062726,23.4799501868,23.2279661017,31.4614921781,32.0615681234,32.019235226,31.8366146459,30.8603926097,28.7898809524,27.7294797688,27.2475144509,28.0045792079,29.3134777377,30.7300621118,31.0568154403,0.744951923077,2.33210191083,3.40958429561,4.63496420048,11.2396770473,20.5775,5.04053117783,1.08316032295,2.34944375773,6.19038461538,5.79021065675,2.62560096154,0,0,0,0,0,0,0,0,0,0,0,0
Accra,22.5544280443,23.7381965552,24.1283870968,23.9355238095,23.3031365314,22.5951428571,22.2221198157,21.8749077491,22.2964761905,22.4773271889,22.6427889207,22.4187269373,31.3098799631,31.8796558704,32.158079409,31.7835238095,30.9586715867,29.0942857143,27.7666359447,27.6412742382,28.806,29.9332718894,31.1773854962,31.4528597786,0.401658986175,1.05429726997,2.07693726937,3.22066666667,4.65373271889,7.79695238095,2.79262672811,0.980552995392,1.55923809524,2.99290322581,1.09066666667,0.215852534562,0,0,0,0,0,0,0,0,0,0,0,0
Adana,5.62876344086,5.85162241888,8.15319148936,11.2861111111,14.4540322581,18.6719251337,21.7682382134,22.4429280397,19.0989690722,15.3188585608,11.061025641,7.55682382134,14.422311828,15.1390532544,18.6497340426,22.7675,27.075,31.6387700535,33.9287841191,35.182630273,32.4548717949,28.576674938,22.6474358974,16.2952853598,3.62297297297,3.39734513274,2.44343163539,2.02333333333,1.75870646766,0.877692307692,0.128358208955,0.13300248139,0.346666666667,0.757320099256,1.28666666667,4.54946236559,0.0134408602151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Addis Ababa,6.33514986376,8.10059612519,9.70276625173,10.3191608392,10.3736338798,9.98884408602,10.5996119017,10.5056532663,9.85032851511,7.4634085213,5.64391891892,5.02286465177,22.9655405405,23.8461538462,24.4646563815,24.2333333333,24.5423868313,23.2321715818,20.8766013072,20.7725094578,21.5561768531,22.5368421053,22.4051282051,22.4167098446,0.493548387097,1.38684582744,2.27273901809,3.016,2.70916129032,3.8448,7.43139534884,7.68486352357,4.74333333333,0.971641791045,0.239230769231,0.169851116625,0,0,0,0,0,0,0,0,0,0,0,0
Ahmedabad,11.95,14.0824034335,18.9719348659,23.6471578947,26.7680680681,27.2310043668,25.7871428571,24.9328516378,24.4881763527,21.081402439,16.5762006403,13.1542564103,28.1801564027,30.9870769231,35.9194891202,39.7426059979,41.6059659091,38.5039292731,33.5523762376,32.1125708885,33.7985059761,35.7059745348,32.8514173998,29.5457394711,0.103456619426,0.063629489603,0.0482332761578,0.0737126395391,0.270494638533,3.39707724426,10.2367613451,7.52971132014,4.53747858856,0.434667571235,0.22372173913,0.0561172901921,0,0,0,0,0,0,0,0,0,0,0,0
Al Jīzah,5.74679113186,6.4067357513,8.43822843823,11.4831730769,15.4970622797,18.3760896638,20.2333736397,20.3288996372,18.404494382,15.9734939759,12.2794871795,7.62953692115,19.923453909,21.4103225806,24.3914053426,28.8381294964,32.9578947368,34.9527950311,35.8146811071,35.0252403846,32.44375,30.3049219688,26.0320924262,21.5378446115,0.107549361208,0.122036082474,0.115527230591,0.0430288461538,0.0477855477855,0.0,0.0,0.000120192307692,0.00746268656716,0.116306954436,0.136526181354,0.14,0,0,0,0,0,0,0,0,0,0,0,0
Al Mawşil al Jadīdah,2.61717929482,3.4012,6.24007326007,10.2426865672,15.0326210826,20.0322057787,23.4977991747,22.9845367847,19.4226628895,14.8825572801,8.65961832061,4.30839753467,10.9068794326,12.7095943838,16.9298719772,22.3158706833,29.5679550246,36.2497454545,40.1883737024,39.6949340736,35.293487395,28.0833800842,19.3525557955,12.828111588,2.49723352319,2.4405234657,2.1404662781,1.89061962134,0.919349457882,0.0889956331878,0.00426257459506,0.00169635284139,0.0267857142857,0.727486910995,1.31674087266,2.25165217391,0,0,0,0,0,0,0,0,0,0,0,0
Aleppo,1.63561151079,2.54980237154,5.36684587814,8.9187037037,13.0663082437,17.8861111111,20.529390681,20.5170250896,17.2089473684,12.3697792869,6.59947368421,3.11273344652,9.98705035971,12.2853754941,16.9295698925,22.267903525,28.1948028674,33.4383333333,35.7616487455,36.1899641577,33.0784210526,27.1108658744,19.0431578947,11.7448217317,2.02347670251,1.7561023622,1.45555555556,1.27759259259,0.755913978495,0.0924074074074,0.00221774193548,0.0378494623656,0.06875,0.555017921147,0.861296296296,2.00916808149,0,0,0,0,0,0,0,0,0,0,0,0
Alexandria,5.74679113186,6.4067357513,8.43822843823,11.4831730769,15.4970622797,18.3760896638,20.2333736397,20.3288996372,18.404494382,15.9734939759,12.2794871795,7.62953692115,19.923453909,21.4103225806,24.3914053426,28.8381294964,32.9578947368,34.9527950311,35.8146811071,35.0252403846,32.44375,30.3049219688,26.0320924262,21.5378446115,0.107549361208,0.122036082474,0.115527230591,0.0430288461538,0.0477855477855,0.0,0.0,0.000120192307692,0.00746268656716,0.116306954436,0.136526181354,0.14,0,0,0,0,0,0,0,0,0,0,0,0
Algiers,9.25019230769,9.56631908238,10.8846520496,12.6942252166,15.1948717949,18.4201886792,20.9249765258,21.9358851675,20.3235410485,17.1696618357,13.3916829746,10.5939081537,15.2751677852,16.2810218978,18.0443279314,20.1409441233,22.6348623853,26.1040642722,28.5566604128,29.5094375596,27.3420948617,24.0864864865,19.7110675808,16.4873239437,3.69192015209,2.93222797927,2.49411206078,1.51461538462,1.49395604396,0.496324222432,0.0927835051546,0.126020892688,1.24515810277,2.50872483221,3.7757018393,3.92399626517,0,0,0,0,0,0,0,0,0,0,0,0
